,Name,Platform,Date,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,Total_Shipped,game_id,developer
5451,Yakuman,GB,1989.0,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28,,1.28,65564,Intelligent Systems
5455,Army Men 3D,PS,1999.0,Action,3DO,1.1,0.14,0.0,0.04,1.28,,1.28,65566,3DO
5460,Twisted Metal 4,PS,1999.0,Racing,989 Studios,1.07,0.16,0.0,0.04,1.28,,1.28,65568,989 Studios
5461,Manhunt,PS2,2003.0,Action,Take-Two Interactive,0.63,0.49,0.0,0.16,1.28,,1.28,65569,Rockstar North
5466,Kid Icarus: Uprising,3DS,2012.0,Action,Nintendo,0.48,0.35,0.36,0.07,1.28,8.8,1.34,65570,Project Sora
5467,Silent Hill 2,PS2,2001.0,Action,Konami Digital Entertainment,0.62,0.49,0.0,0.16,1.28,,1.28,65571,KCET
5469,Tomb Raider: Underworld,PS3,2008.0,Action,Eidos Interactive,0.45,0.56,0.05,0.22,1.27,,1.26,65572,Crystal Dynamics
5477,Castlevania: Symphony of the Night,PS,1997.0,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,9.0,1.27,65573,Konami Computer Entertainment Tokyo
5481,The Sims 2: Nightlife,PC,2005.0,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27,,1.27,65574,Maxis
5490,Road Rash,PS,1995.0,Racing,Electronic Arts,0.71,0.48,0.0,0.08,1.27,,1.27,65576,Advanced Technology Group
5498,Atlantis,2600,1981.0,Shooter,Imagic,1.18,0.08,0.0,0.01,1.27,,,65578,Imagic
5501,NBA 2K9,X360,2008.0,Sports,Take-Two Interactive,1.0,0.16,0.0,0.11,1.27,,1.27,65579,Visual Concepts
5506,WWE '12,X360,2011.0,Fighting,THQ,0.74,0.4,0.0,0.12,1.27,,1.27,65580,"Yuke's Co., Ltd."
5514,Hogan's Alley,NES,1984.0,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27,,,65582,Intelligent Systems
